year_aired,imdb,monster_real,title,suspects_amount
2018,7.3,fake,Scooby-Doo! and the Gourmet Ghost,11
2018,8.1,real,Monster Party,0
2019,6.5,fake,Scooby-Doo! and the Curse of the 13th Ghost,4
2019,7,fake,Revenge of the Swamp Monster,5
2019,7.9,fake,A Mystery Solving Gang Divided,2
2019,7.9,fake,Peebles' Pet Show of Terrible Terrors!,1
2019,8.1,fake,"Elementary, My Dear Shaggy!",3
2019,5.7,fake,Scooby-Doo! Return to Zombie Island,12
2019,7.3,fake,Ollie Ollie In-Come Free!,3
2019,8.1,fake,The Scooby of a Thousand Faces!,2
2019,8.3,fake,The Cursed Cabinet of Professor Madds Markson,3
2019,6.5,fake,When Urkel-Bots Go Bad!,4
2019,7.5,fake,The Fastest Food Fiend!,3
2019,7.5,fake,Attack of the Weird Al-Osaurus!,4
2019,7.4,fake,"Now You Sia, Now You Don't!",5
2019,7.4,fake,Quit Clowning!,4
2019,8.7,fake,"What a Night, for a Dark Knight",3
2019,6.4,fake,Cartoon Feud,0
2020,5.7,fake,SCOOB!,5
2020,8.1,fake,The Nightmare Ghost of Psychic U!,2
2020,8.8,fake,"The Sword, the Fox and the Scooby-Doo!",3
2020,7.9,fake,One Minuite Mysteries!,1
2020,8.1,fake,Hollywood Knights!,4
2020,7.8,fake,The New York Underground!,4
2020,7.7,fake,Fear the Fire Beast!,3
2020,8.2,fake,Too Many Dummies!,6
2020,7.6,fake,Dance Matron of Mayhem,2
2020,8.6,fake,The Wedding Witch of Wainsly Hall!,3
2020,7.9,fake,A Run Cycle Through Time!,0
2020,8.4,fake,I Put a Hex on You!,3
2020,7.6,fake,The High School Wolfman's Musical Lament!,4
2020,8.2,fake,Space Station Scooby,4
2020,6.3,fake,"Happy Halloween, Scooby-Doo!",5
2020,6.2,fake,Scooby-Doo! The Sword and the Scoob,8
